"id","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
11,"OWID_ASI","","Asia","2021-07-09","57255685","171415","161440.143","813758","3089","2648.143","12339.993","36.944","34.794","175.385","0.666","0.571","","","","","","","","","","","","","","","","","","","2114619852","1172758155","412161326","15031879","21602587","45.58","25.28","8.88","4656","","4639847425","","","","","","","","","","","","","","",""
12,"AUS","Oceania","Australia","2021-07-09","31015","64","40.143","910","0","0","1216.28","2.51","1.574","35.686","0","0","","","","","","","","","","","","","","","","","","","8871572","6691028","2180544","164773","128774","34.79","26.24","8.55","5050","","25499881","3.202","37.9","15.504","10.129","44648.71","0.5","107.791","5.07","13","16.5","","3.84","83.44","0.944",""
13,"AUT","Europe","Austria","2021-07-09","651291","163","103.143","10722","1","1.857","72314.243","18.098","11.452","1190.487","0.111","0.206","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9006400","106.749","44.4","19.202","13.748","45436.686","0.7","145.183","6.35","28.4","30.9","","7.37","81.54","0.922",""
14,"AZE","Asia","Azerbaijan","2021-07-09","336962","174","105.571","4982","2","0.714","33233.67","17.161","10.412","491.361","0.197","0.07","","","","","","","","","","","","","","","","","","","4015612","2437929","1577683","51510","49269","39.6","24.04","15.56","4859","","10139175","119.309","32.4","6.018","3.871","15847.419","","559.812","7.11","0.3","42.5","83.241","4.7","73","0.756",""
15,"BHS","North America","Bahamas","2021-07-09","13024","0","41.286","252","0","0.857","33119.05","0","104.986","640.817","0","2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","393248","39.497","34.3","8.996","5.2","27717.847","","235.954","13.17","3.1","20.4","","2.9","73.92","0.814",""
16,"BHR","Asia","Bahrain","2021-07-09","267038","119","128.286","1374","3","2.571","156935.042","69.935","75.392","807.483","1.763","1.511","","","","","","","","","","13164","5137699","3019.364","7.736","12171","7.153","","","units unclear","2180164","1082604","1017365","6807","6637","128.13","63.62","59.79","3900","","1701583","1935.907","32.4","2.372","1.387","43290.705","","151.689","16.52","5.8","37.6","","2","77.29","0.852",""
17,"BGD","Asia","Bangladesh","2021-07-09","1000543","11324","10071.571","16004","212","175.143","6075.334","68.76","61.155","97.177","1.287","1.063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164689383","1265.036","27.5","5.098","3.262","3523.984","14.8","298.003","8.38","1","44.7","34.808","0.8","72.59","0.632",""
18,"BRB","North America","Barbados","2021-07-09","4128","9","6.571","48","1","0.143","14364.706","31.318","22.867","167.031","3.48","0.497","","","","","","","","","","","","","","","","","","","","","","","","","","","","","287371","664.463","39.8","14.952","9.473","16978.068","","170.05","13.57","1.9","14.5","88.469","5.8","79.19","0.814",""
19,"BLR","Europe","Belarus","2021-07-09","425804","1250","924.857","3236","11","10.286","45061.862","132.285","97.876","342.458","1.164","1.089","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9449321","46.858","40.3","14.799","9.788","17167.967","","443.129","5.18","10.5","46.1","","11","74.79","0.823",""
20,"BEL","Europe","Belgium","2021-07-09","1093700","1223","1027.429","25198","2","1.857","94368.959","105.525","88.651","2174.188","0.173","0.16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11589616","375.564","41.8","18.571","12.849","42658.576","0.2","114.898","4.29","25.1","31.4","","5.64","81.63","0.931",""
21,"BLZ","North America","Belize","2021-07-09","13518","42","25","330","0","0","33997.198","105.628","62.874","829.936","0","0","","","","","","","","","","","163555","411.334","","1125","2.829","","","tests performed","","","","","","","","","","","397621","16.426","25","3.853","2.279","7824.362","","176.957","17.11","","","90.083","1.3","74.62","0.716",""
22,"BEN","Africa","Benin","2021-07-09","8227","0","4","105","0","0.143","678.616","0","0.33","8.661","0","0.012","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12123198","99.11","18.8","3.244","1.942","2064.236","49.6","235.848","0.99","0.6","12.3","11.035","0.5","61.77","0.545",""
23,"BMU","North America","Bermuda","2021-07-03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81845","","","","408","131.43","","","6552","","62273","1308.82","","","","50669.315","","139.547","13","","","","","82.59","",""
24,"BTN","Asia","Bhutan","2021-07-09","2258","6","19.429","1","0","0","2926.341","7.776","25.179","1.296","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771612","21.188","28.6","4.885","2.977","8708.597","1.5","217.066","9.75","","","79.807","1.7","71.78","0.654",""
25,"BOL","South America","Bolivia","2021-07-09","451224","0","1191.429","17126","0","35.286","38655.262","0","102.067","1467.143","0","3.023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11673029","10.202","25.4","6.704","4.393","6885.829","7.1","204.299","6.89","","","25.383","1.1","71.51","0.718",""
26,"BIH","Europe","Bosnia and Herzegovina","2021-07-09","205047","0","0","9667","0","0","62498.8","0","0","2946.524","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3280815","68.496","42.5","16.569","10.711","11713.895","0.2","329.635","10.08","30.2","47.7","97.164","3.5","77.4","0.78",""
27,"BWA","Africa","Botswana","2021-07-09","75388","0","563.571","1202","0","6.286","32057.832","0","239.652","511.136","0","2.673","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2351625","4.044","25.8","3.941","2.242","15807.374","","237.372","4.81","5.7","34.4","","1.8","69.59","0.735",""
28,"BRA","South America","Brazil","2021-07-09","19020499","57737","47575.714","531688","1509","1390.857","89483.214","271.628","223.823","2501.362","7.099","6.543","","","","","","","","","","","","","","","","","","","112774302","85201397","29901792","1296611","1307672","53.06","40.08","14.07","6152","","212559409","25.04","33.5","8.552","5.06","14103.452","3.4","177.961","8.11","10.1","17.9","","2.2","75.88","0.765",""
29,"BRN","Asia","Brunei","2021-07-09","266","0","0.714","3","0","0","608.024","0","1.633","6.857","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","437483","81.347","32.4","4.591","2.382","71809.251","","201.285","12.79","2","30.9","","2.7","75.86","0.838",""
30,"BGR","Europe","Bulgaria","2021-07-09","422414","61","61.571","18138","4","7.857","60792.595","8.779","8.861","2610.368","0.576","1.131","","","","","","","","","","12565","3295239","474.241","1.808","12645","1.82","","","tests performed","1847225","1000367","846858","11544","8846","26.58","14.4","12.19","1273","","6948445","65.18","44.7","20.801","13.272","18563.307","1.5","424.688","5.81","30.1","44.4","","7.454","75.05","0.816",""
31,"BFA","Africa","Burkina Faso","2021-07-09","13506","1","2.571","168","0","0","646.119","0.048","0.123","8.037","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20903278","70.151","17.6","2.409","1.358","1703.102","43.7","269.048","2.42","1.6","23.9","11.877","0.4","61.58","0.452",""
32,"BDI","Africa","Burundi","2021-07-09","5608","23","16.286","8","0","0","471.626","1.934","1.37","0.673","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11890781","423.062","17.5","2.562","1.504","702.225","71.7","293.068","6.05","","","6.144","0.8","61.58","0.433",""
33,"KHM","Asia","Cambodia","2021-07-09","59045","988","956.429","855","30","27.857","3531.617","59.095","57.206","51.14","1.794","1.666","","","","","","","","","","","","","","","","","","","8421951","4793197","3628754","149665","123420","50.37","28.67","21.7","7382","","16718971","90.672","25.6","4.412","2.385","3645.07","","270.892","4","2","33.7","66.229","0.8","69.82","0.594",""
34,"CMR","Africa","Cameroon","2021-07-09","80858","0","0","1324","0","0","3045.974","0","0","49.876","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26545864","50.885","18.8","3.165","1.919","3364.926","23.8","244.661","7.2","","","2.735","1.3","59.29","0.563",""
35,"CAN","North America","Canada","2021-07-09","1427475","770","519.714","26383","8","11","37821.765","20.402","13.77","699.033","0.212","0.291","","","","","","","","","","","","","","","","","","","41859123","26145631","15713492","546257","491618","110.91","69.27","41.63","13026","","37742157","4.037","41.4","16.984","10.797","44017.591","0.5","105.599","7.37","12","16.6","","2.5","82.43","0.929",""
36,"CPV","Africa","Cape Verde","2021-07-09","32928","45","37.429","289","0","0.286","59224.3","80.937","67.319","519.795","0","0.514","","","","","","","","","","","","","","","","","","","","","","","","","","","","","555988","135.58","25.7","4.46","3.437","6222.554","","182.219","2.42","2.1","16.5","","2.1","72.98","0.665",""
37,"CYM","North America","Cayman Islands","2021-07-08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94277","48764","45504","72","89","143.45","74.2","69.24","1354","","65720","256.496","","","","49903.029","","","13.22","","","","","83.92","",""
38,"CAF","Africa","Central African Republic","2021-07-09","7142","0","0.143","98","0","0","1478.747","0","0.03","20.291","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4829764","7.479","18.3","3.655","2.251","661.24","","435.727","6.1","","","16.603","1","53.28","0.397",""
39,"TCD","Africa","Chad","2021-07-09","4953","0","0.286","174","0","0","301.537","0","0.017","10.593","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16425859","11.833","16.7","2.486","1.446","1768.153","38.4","280.995","6.1","","","5.818","","54.24","0.398",""
40,"CHL","South America","Chile","2021-07-09","1582391","2800","2825.429","33636","122","118.143","82777.448","146.473","147.803","1759.554","6.382","6.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19116209","24.282","35.4","11.087","6.938","22767.037","1.3","127.993","8.46","34.2","41.5","","2.11","80.18","0.851",""
41,"CHN","Asia","China","2021-07-09","92070","26","26.143","4636","0","0","63.968","0.018","0.018","3.221","0","0","","","","","","","","","","","","","","","","","","","1365463000","","","11237000","11755429","94.87","","","8167","","1439323774","147.674","38.7","10.641","5.929","15308.712","0.7","261.899","9.74","1.9","48.4","","4.34","76.91","0.761",""
42,"COL","South America","Colombia","2021-07-09","4471622","21536","24902.857","111731","576","572.571","87880.671","423.246","489.415","2195.846","11.32","11.253","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.37","50882884","44.223","32.2","7.646","4.312","13254.949","4.5","124.24","7.44","4.7","13.5","65.386","1.71","77.29","0.767",""
43,"COM","Africa","Comoros","2021-07-09","3979","3","3.143","146","0","0","4575.693","3.45","3.614","167.894","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","869595","437.352","20.4","2.963","1.726","1413.89","18.1","261.516","11.88","4.4","23.6","15.574","2.2","64.32","0.554",""
44,"COG","Africa","Congo","2021-07-09","12790","0","13.571","167","0","0.143","2317.83","0","2.459","30.264","0","0.026","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5518092","15.405","19","3.402","2.063","4881.406","37","344.094","7.2","1.7","52.3","47.964","","64.57","0.574",""
45,"COK","Oceania","Cook Islands","2021-06-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18942","9755","9187","","173","107.85","55.54","52.31","9850","","17564","","","","","","","","","","","","","76.25","",""
46,"CRI","North America","Costa Rica","2021-07-09","380482","1544","1325.143","4773","13","12.429","74690.515","303.095","260.132","936.964","2.552","2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5094114","96.079","33.6","9.468","5.694","15524.995","1.3","137.973","8.78","6.4","17.4","83.841","1.13","80.28","0.81",""
47,"CIV","Africa","Cote d'Ivoire","2021-07-09","48776","37","56.857","318","1","0.429","1849.097","1.403","2.155","12.055","0.038","0.016","","","","","","","","","","","","","","","","","","","850857","850857","","15694","10033","3.23","3.23","","380","","26378275","76.399","18.7","2.933","1.582","3601.006","28.2","303.74","2.42","","","19.351","","57.78","0.538",""
48,"HRV","Europe","Croatia","2021-07-09","360680","87","87.571","8226","0","2","87857.845","21.192","21.331","2003.767","0","0.487","","","","","","","","","","","","","","","","","","","2792456","1543689","1248767","","22752","68.02","37.6","30.42","5542","","4105268","73.726","44","19.724","13.053","22669.797","0.7","253.782","5.59","34.3","39.9","","5.54","78.49","0.851",""
49,"CUB","North America","Cuba","2021-07-09","224818","6422","3937.857","1451","20","18.429","19848.647","566.983","347.664","128.105","1.766","1.627","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11326616","110.408","43.1","14.738","9.719","","","190.968","8.27","17.1","53.3","85.198","5.2","78.8","0.783",""
50,"CUW","North America","Curacao","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","169429","89550","79879","","251","103.25","54.57","48.68","1530","","164100","362.644","41.7","16.367","10.068","","","","11.62","","","","","78.88","",""
51,"CYP","Europe","Cyprus","2021-07-09","82463","882","800.143","380","0","0.857","92863.216","993.238","901.057","427.926","0","0.965","","","","","","","","","","","","","","","","","","","","","","","","","","","","","888005","127.657","37.3","13.416","8.563","32415.132","","141.171","9.24","19.6","52.7","","3.4","80.98","0.887",""
52,"CZE","Europe","Czechia","2021-07-09","1668891","272","183.286","30331","0","3.286","155840.303","25.399","17.115","2832.295","0","0.307","","","","","","","","","","","","","","","","","","","8896300","5215303","3778749","91618","59947","83.07","48.7","35.29","5598","","10708982","137.176","43.3","19.027","11.58","32605.906","","227.485","6.82","30.5","38.3","","6.63","79.38","0.9",""
53,"COD","Africa","Democratic Republic of Congo","2021-07-09","43694","361","274.714","979","6","6","487.866","4.031","3.067","10.931","0.067","0.067","","","","","","","","","","","","","","","","","","","","","","","","","","","","","89561404","35.879","17","3.02","1.745","808.133","77.1","318.949","6.1","","","4.472","","60.68","0.48",""
54,"DNK","Europe","Denmark","2021-07-09","298970","559","523.429","2539","0","0.286","51615.94","96.509","90.368","438.348","0","0.049","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5792203","136.52","42.3","19.677","12.325","46682.515","0.2","114.767","6.41","19.3","18.8","","2.5","80.9","0.94",""
55,"DJI","Africa","Djibouti","2021-07-09","11614","0","1.714","155","0","0","11755.037","0","1.735","156.882","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","988002","41.285","25.4","4.213","2.38","2705.406","22.5","258.037","6.05","1.7","24.5","","1.4","67.11","0.524",""
56,"DMA","North America","Dominica","2021-07-09","197","0","0.429","","","0","2736.453","0","5.953","","","0","","","","","","","","","","","","","","","","","","","40004","20456","19548","","9","55.57","28.41","27.15","125","","71991","98.567","","","","9673.367","","227.376","11.62","","","","3.8","75","0.742",""
57,"DOM","North America","Dominican Republic","2021-07-09","332384","558","689","3879","9","4.714","30640.389","51.439","63.515","357.581","0.83","0.435","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10847904","222.873","27.6","6.981","4.419","14600.861","1.6","266.653","8.2","8.5","19.1","55.182","1.6","74.08","0.756",""
58,"ECU","South America","Ecuador","2021-07-09","467073","1195","845.143","21803","35","25.714","26473.469","67.732","47.902","1235.783","1.984","1.457","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17643060","66.939","28.1","7.104","4.458","10581.936","3.6","140.448","5.55","2","12.3","80.635","1.5","77.01","0.759",""
59,"EGY","Africa","Egypt","2021-07-09","282864","127","163.143","16368","17","21.857","2764.114","1.241","1.594","159.946","0.166","0.214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","102334403","97.999","25.3","5.159","2.891","10550.206","1.3","525.432","17.31","0.2","50.1","89.827","1.6","71.99","0.707",""
60,"SLV","North America","El Salvador","2021-07-09","80932","0","309.429","2433","5","5.714","12477.566","0","47.706","375.104","0.771","0.881","","","","","","","","","","","","","","","","","","","3212880","1951564","1261316","75956","46054","49.53","30.09","19.45","7100","","6486201","307.811","27.6","8.273","5.417","7292.458","2.2","167.295","8.87","2.5","18.8","90.65","1.3","73.32","0.673",""
61,"GNQ","Africa","Equatorial Guinea","2021-07-09","8790","0","6.857","122","0","0","6265.213","0","4.888","86.957","0","0","","","","","","","","","","1384","163221","116.338","0.986","","","","","tests performed","","","","","","","","","","","1402985","45.194","22.4","2.846","1.752","22604.873","","202.812","7.78","","","24.64","2.1","58.74","0.592",""
62,"ERI","Africa","Eritrea","2021-07-09","6259","17","29.714","29","1","0.571","1764.875","4.794","8.379","8.177","0.282","0.161","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3546427","44.304","19.3","3.607","2.171","1510.459","","311.11","6.05","0.2","11.4","","0.7","66.32","0.459",""
63,"EST","Europe","Estonia","2021-07-09","131396","39","39","1270","0","0.143","99051.743","29.4","29.4","957.379","0","0.108","","","","","","","","","","","","","","","","","","","1015627","580404","435223","6631","6413","76.56","43.75","32.81","4834","","1326539","31.033","42.7","19.452","13.491","29481.252","0.5","255.569","4.02","24.5","39.3","","4.69","78.74","0.892",""
64,"SWZ","Africa","Eswatini","2021-07-09","19779","117","99.286","686","1","1.143","17048.452","100.848","85.579","591.296","0.862","0.985","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1160164","79.492","21.5","3.163","1.845","7738.975","","333.436","3.94","1.7","16.5","24.097","2.1","60.19","0.611",""
65,"ETH","Africa","Ethiopia","2021-07-09","276871","72","78.286","4342","1","2.143","2408.337","0.626","0.681","37.768","0.009","0.019","","","","","","","","","","","","","","","","","","","2055593","","","467","3690","1.79","","","32","","114963583","104.957","19.8","3.526","2.063","1729.927","26.7","182.634","7.47","0.4","8.5","7.96","0.3","66.6","0.485",""
66,"OWID_EUR","","Europe","2021-07-09","49025275","110454","87077.714","1114071","950","952.286","65482.276","147.532","116.308","1488.047","1.269","1.272","","","","","","","","","","","","","","","","","","","553435612","328091385","235113232","3860608","4928892","73.92","43.82","31.4","6583","","748680069","","","","","","","","","","","","","","",""
67,"OWID_EUN","","European Union","2021-07-09","33004331","46017","31261.571","741327","162","183.286","74180.528","103.428","70.264","1666.206","0.364","0.412","","","","","","","","","","","","","","","","","","","399819954","238530201","171045206","2676517","3793767","89.86","53.61","38.44","8527","","444919060","","","","","","","","","","","","","","",""
68,"FLK","South America","Falkland Islands","2021-04-14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4407","2632","1775","","12","126.53","75.57","50.96","3445","","3483","","","","","","","","","","","","","81.44","",""
69,"FJI","Oceania","Fiji","2021-07-09","9521","860","609.714","51","3","3.714","10620.853","959.346","680.148","56.891","3.347","4.143","","","","","","","","","","","","","","","","","","","","","","","","","","","","","896444","49.562","28.6","6.224","3.284","8702.975","1.4","412.82","14.49","10.2","34.8","","2.3","67.44","0.743",""
70,"FIN","Europe","Finland","2021-07-09","97651","302","210.143","976","0","0.429","17624.25","54.506","37.927","176.15","0","0.077","","","","","","","","","","","","","","","","","","","4715679","3440351","1275328","79779","36106","85.11","62.09","23.02","6516","","5540718","18.136","42.8","21.228","13.264","40585.721","","153.507","5.76","18.3","22.6","","3.28","81.91","0.938",""
71,"FRA","Europe","France","2021-07-09","5865767","4639","3301.857","111492","19","24.286","86817.613","68.661","48.87","1650.163","0.281","0.359","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67564251","122.578","42","19.718","13.079","38605.671","","86.06","4.77","30.1","35.6","","5.98","82.66","0.901",""
72,"PYF","Oceania","French Polynesia","2021-06-29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","132540","71242","61298","","882","47.18","25.36","21.82","3140","","280904","77.324","32.7","7.775","4.593","","","","22.63","","","","","77.66","",""
73,"GAB","Africa","Gabon","2021-07-09","25164","31","12.571","162","1","0.429","11305.964","13.928","5.648","72.785","0.449","0.193","","","","","","","","","","","873543","392.475","","","","","","samples tested","","","","","","","","","","","2225728","7.859","23.1","4.45","2.976","16562.413","3.4","259.967","7.2","","","","6.3","66.47","0.703",""
74,"GMB","Africa","Gambia","2021-07-09","6183","0","14.857","183","0","0.286","2558.486","0","6.148","75.724","0","0.118","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2416664","207.566","17.5","2.339","1.417","1561.767","10.1","331.43","1.91","0.7","31.2","7.876","1.1","62.05","0.496",""
75,"GEO","Asia","Georgia","2021-07-09","374836","1108","973.429","5421","6","12.286","93963.288","277.752","244.018","1358.928","1.504","3.08","","","","","","","","","","","","","","","","","","","403294","289399","113895","8074","4705","10.11","7.25","2.86","1179","","3989175","65.032","38.7","14.864","10.244","9745.079","4.2","496.218","7.11","5.3","55.5","","2.6","73.77","0.812",""
76,"DEU","Europe","Germany","2021-07-09","3742355","885","675","91232","35","28.571","44666.732","10.563","8.056","1088.896","0.418","0.341","","","","","","","","","","","","","","","","","","","81333461","48417298","35009091","698807","633990","97.08","57.79","41.78","7567","","83783945","237.016","46.6","21.453","15.957","45229.245","","156.139","8.31","28.2","33.1","","8","81.33","0.947",""
77,"GHA","Africa","Ghana","2021-07-09","96971","0","151","797","0","0.143","3120.753","0","4.86","25.649","0","0.005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31072945","126.719","21.1","3.385","1.948","4227.63","12","298.245","4.97","0.3","7.7","41.047","0.9","64.07","0.611",""
78,"GIB","Europe","Gibraltar","2021-07-02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78125","39259","38866","","10","231.89","116.53","115.36","297","","33691","3457.1","","","","","","","","","","","","79.93","",""
79,"GRC","Europe","Greece","2021-07-09","435018","1997","1550.429","12761","12","8.571","41736.128","191.594","148.75","1224.305","1.151","0.822","","","","","","","","","","","","","","","","","","","9138465","5204251","4201847","87699","82741","87.68","49.93","40.31","7938","","10423056","83.479","45.3","20.396","14.524","24574.382","1.5","175.695","4.55","35.3","52","","4.21","82.24","0.888",""
80,"GRL","North America","Greenland","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47971","31494","16477","1225","694","84.5","55.47","29.02","12224","","56772","0.137","","","","","","199.941","2.16","","","","","71.7","",""
81,"GRD","North America","Grenada","2021-07-09","161","0","0","1","0","0","1430.869","0","0","8.887","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","112519","317.132","29.4","7.304","5.021","13593.877","","243.964","10.71","","","","3.7","72.4","0.779",""
82,"GTM","North America","Guatemala","2021-07-09","314302","2960","2199.714","9643","34","41.857","17543.514","165.219","122.782","538.247","1.898","2.336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17915567","157.834","22.9","4.694","3.016","7423.808","8.7","155.898","10.18","","","76.665","0.6","74.3","0.663",""
83,"GGY","Europe","Guernsey","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85940","","","","554","128.17","","","8262","","67052","","","","","","","","","","","","","","",""
84,"GIN","Africa","Guinea","2021-07-09","24020","21","30.429","175","1","0.429","1829.009","1.599","2.317","13.325","0.076","0.033","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13132792","51.755","19","3.135","1.733","1998.926","35.3","336.717","2.42","","","17.45","0.3","61.6","0.477",""
85,"GNB","Africa","Guinea-Bissau","2021-07-09","3934","13","7.714","70","0","0.143","1998.986","6.606","3.92","35.569","0","0.073","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1967998","66.191","19.4","3.002","1.565","1548.675","67.1","382.474","2.42","","","6.403","","58.32","0.48",""
86,"GUY","South America","Guyana","2021-07-09","20834","77","86.143","489","3","1.714","26487.524","97.895","109.519","621.695","3.814","2.179","","","","","","","","","","","","","","","","","","","","","","","","","","","","","786559","3.952","26.3","5.305","2.837","7435.047","","373.159","11.62","","","77.159","1.6","69.91","0.682",""
87,"HTI","North America","Haiti","2021-07-09","19220","48","80.286","471","4","5","1685.59","4.21","7.041","41.307","0.351","0.438","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11402533","398.448","24.3","4.8","2.954","1653.173","23.5","430.548","6.65","2.9","23.1","22.863","0.7","64","0.51",""
88,"HND","North America","Honduras","2021-07-09","272730","1111","1079.429","7221","29","23.143","27535.668","112.17","108.982","729.055","2.928","2.337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9904608","82.805","24.9","4.652","2.883","4541.795","16","240.208","7.21","2","","84.169","0.7","75.27","0.634",""
89,"HKG","Asia","Hong Kong","2021-07-09","11949","1","1.571","212","0","0.143","1593.84","0.133","0.21","28.278","0","0.019","","","","","","","","","","","","","","","","","","","4277273","2541798","1735475","70010","61458","57.05","33.9","23.15","8198","","7496988","7039.714","44.8","16.303","10.158","56054.92","","","8.33","","","","","84.86","0.949",""
90,"ISL","Europe","Iceland","2021-07-09","6555","0","0","29","0","0","19208.791","0","0","84.982","0","0","","","","","","","","","","","","","","","","","","","451936","264849","239686","880","2366","132.44","77.61","70.24","6933","","341250","3.404","37.3","14.431","9.207","46482.958","0.2","117.992","5.31","14.3","15.2","","2.91","82.99","0.949",""
91,"IND","Asia","India","2021-07-09","30795716","42766","41907.714","407145","1206","870.714","22315.665","30.99","30.368","295.032","0.874","0.631","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1380004385","450.419","28.2","5.989","3.414","6426.674","21.2","282.28","10.39","1.9","20.6","59.55","0.53","69.66","0.645",""
92,"IDN","Asia","Indonesia","2021-07-09","2455912","38124","32424.857","64631","871","728.143","8978.793","139.381","118.545","236.29","3.184","2.662","","","","","","","","","","","","","","","","","","","50644144","35775567","14868577","1160956","854602","18.52","13.08","5.44","3124","","273523621","145.725","29.3","5.319","3.053","11188.744","5.7","342.864","6.32","2.8","76.1","64.204","1.04","71.72","0.718",""
93,"IRN","Asia","Iran","2021-07-09","3344122","16596","15918","85543","146","146.714","39814.316","197.588","189.516","1018.454","1.738","1.747","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83992953","49.831","32.4","5.44","3.182","19082.62","0.2","270.308","9.59","0.8","21.1","","1.5","76.68","0.783",""
94,"IRQ","Asia","Iraq","2021-07-09","1414925","8636","7869.857","17476","32","31.429","35177.448","214.706","195.658","434.483","0.796","0.781","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40222503","88.125","20","3.186","1.957","15663.986","2.5","218.612","8.83","","","94.576","1.4","70.6","0.674",""
95,"IRL","Europe","Ireland","2021-07-09","276735","631","491.286","5006","0","0.857","56044.235","127.79","99.495","1013.813","0","0.174","","","","","","","","","","","","","","","","","","","4676455","2737301","2011239","","58757","94.71","55.44","40.73","11899","","4937796","69.874","38.7","13.928","8.678","67335.293","0.2","126.459","3.28","23","25.7","","2.96","82.3","0.955",""
96,"IMN","Europe","Isle of Man","2021-07-09","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","113007","64151","48856","337","624","132.9","75.44","57.46","7338","","85032","147.872","","","","","","","","","","","","81.4","",""
97,"ISR","Asia","Israel","2021-07-09","845379","390","429.714","6434","2","0.714","97669.112","45.058","49.646","743.339","0.231","0.083","","16","1.849","70","8.087","","","","","","","","","","","","","","10913773","5723382","5190391","12019","16230","126.09","66.12","59.97","1875","","8655541","402.606","30.6","11.733","7.359","33132.32","0.5","93.32","6.74","15.4","35.4","","2.99","82.97","0.919",""
98,"ITA","Europe","Italy","2021-07-09","4268491","1386","987","127756","25","20.143","70598.114","22.924","16.324","2113.003","0.413","0.333","","","","","","","","","","","","","","","","","","","55899111","34936906","22226256","575055","522209","92.45","57.78","36.76","8637","","60461828","205.859","47.9","23.021","16.24","35220.084","2","113.151","4.78","19.8","27.8","","3.18","83.51","0.892",""
