"id","iso_code","continent","location","date","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","new_vaccinations_smoothed_per_million","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality"
178,"SVK","Europe","Slovakia","2021-07-09","391852","39","25.143","12517","1","0.857","71772.458","7.143","4.605","2292.641","0.183","0.157","","","","","","","","","","","","","","","","","","","3836635","2109685","1726950","448","19559","70.27","38.64","31.63","3582","","5459643","113.128","41.2","15.07","9.167","30155.152","0.7","287.959","7.29","23.1","37.7","","5.82","77.54","0.86",""
179,"SVN","Europe","Slovenia","2021-07-09","257703","84","45.714","4423","0","0.571","123959.321","40.405","21.989","2127.535","0","0.275","","","","","","","","","","","","","","","","","","","1585946","846873","739073","11518","8122","76.29","40.74","35.55","3907","","2078932","102.619","44.5","19.062","12.93","31400.84","","153.493","7.25","20.1","25","","4.5","81.32","0.917",""
180,"SLB","Oceania","Solomon Islands","2021-07-09","20","0","0","","","0","29.117","0","0","","","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","686878","21.841","20.8","3.507","2.043","2205.923","25.1","459.78","18.68","","","35.89","1.4","73","0.567",""
181,"SOM","Africa","Somalia","2021-07-09","14995","0","7","775","0","0","943.484","0","0.44","48.763","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15893219","23.5","16.8","2.731","1.496","","","365.769","6.05","","","9.831","0.9","57.4","",""
182,"ZAF","Africa","South Africa","2021-07-09","2157687","22441","19694.429","63873","374","363","36380.621","378.376","332.066","1076.959","6.306","6.121","","","","","","","","","","","","","","","","","","","4203293","3756282","1344690","185851","138806","7.09","6.33","2.27","2340","","59308690","46.754","27.3","5.344","3.053","12294.876","18.9","200.38","5.52","8.1","33.2","43.993","2.32","64.13","0.709",""
183,"OWID_SAM","","South America","2021-07-09","33832899","100930","99463.857","1031958","2600","2852","78542.383","234.307","230.903","2395.669","6.036","6.621","","","","","","","","","","","","","","","","","","","205354362","146305091","62254936","1651256","2489303","47.67","33.96","14.45","5779","","430759772","","","","","","","","","","","","","","",""
184,"KOR","Asia","South Korea","2021-07-09","166722","1378","1054.286","2038","2","1.857","3251.895","26.878","20.564","39.751","0.039","0.036","","","","","","","","","","32125","10683749","208.385","0.627","24687","0.482","","","people tested","20245627","15573316","5801997","175333","102145","39.49","30.38","11.32","1992","","51269183","527.967","43.4","13.914","8.622","35938.374","0.2","85.998","6.8","6.2","40.9","","12.27","83.03","0.916",""
185,"SSD","Africa","South Sudan","2021-07-09","10891","0","3.571","117","0","0","972.955","0","0.319","10.452","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11193729","","19.2","3.441","2.032","1569.888","","280.775","10.43","","","","","57.85","0.433",""
186,"ESP","Europe","Spain","2021-07-09","3937192","21879","14760.571","81003","6","13.143","84209.395","467.952","315.702","1732.507","0.128","0.281","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46754783","93.105","45.5","19.436","13.799","34272.36","1","99.403","7.17","27.4","31.4","","2.97","83.56","0.904",""
187,"LKA","Asia","Sri Lanka","2021-07-09","271483","1537","1241.143","3434","43","39.571","12678.272","71.778","57.961","160.368","2.008","1.848","","","","","","","","","","","","","","","","","","","4938821","3584651","1354170","222126","128892","23.06","16.74","6.32","6019","","21413250","341.955","34.1","10.069","5.331","11669.077","0.7","197.093","10.68","0.3","27","","3.6","76.98","0.782",""
